@relation 	/home/yyang/Data/sign
@attribute	Attribute-0	real
@attribute	Attribute-1	real
@attribute	Attribute-2	real
@attribute	Attribute-3	real
@attribute	Attribute-4	real
@attribute	Attribute-5	real
@attribute	Attribute-6	real
@attribute	Attribute-7	real
@attribute	class { alive, all, answer  }

@data
0.031250,0.015625,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.046875,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.015625,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.039062,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.015625,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.039062,0.015625,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.007812,0.007812,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

0.015625,0.015625,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

0.015625,0.015625,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

0.000000,0.000000,0.007812,0.083333,0.00,0.00,0.00,0.00,alive

0.007812,0.007812,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

0.015625,0.015625,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

0.007812,0.015625,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.000000,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

0.007812,0.015625,0.000000,0.000000,0.25,0.50,0.75,0.50,alive

0.007812,0.015625,0.000000,0.000000,0.25,0.50,0.75,0.50,alive

0.007812,0.023438,0.000000,0.000000,0.25,0.00,0.75,0.00,alive

0.023438,0.039062,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

0.031250,0.039062,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

0.023438,0.015625,0.000000,0.083333,0.25,0.00,0.00,0.00,alive

0.023438,0.031250,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

-0.007812,0.046875,0.000000,0.083333,0.25,0.00,0.00,0.00,alive

-0.054688,0.085938,0.000000,0.083333,0.25,0.00,0.00,0.00,alive

-0.101562,0.148438,0.000000,0.083333,0.25,0.00,0.00,0.00,alive

-0.156250,0.187500,0.000000,0.166667,0.25,0.00,0.00,0.00,alive

-0.203125,0.257812,0.007812,0.083333,0.25,0.00,0.00,0.00,alive

-0.304688,0.312500,0.023438,0.250000,0.25,0.00,0.00,0.00,alive

-0.382812,0.335938,0.039062,0.250000,0.25,0.00,0.00,0.00,alive

-0.429688,0.359375,0.054688,0.166667,0.25,0.00,0.00,0.00,alive

-0.492188,0.320312,0.070312,0.166667,0.25,0.00,0.00,0.00,alive

-0.562500,0.312500,0.078125,0.250000,0.25,0.00,0.00,0.00,alive

-0.585938,0.359375,0.093750,0.250000,0.25,0.00,0.00,0.00,alive

-0.804688,0.015625,0.117188,0.250000,0.25,0.00,0.00,0.00,alive

-0.757812,0.093750,0.125000,0.250000,0.25,0.00,0.00,0.00,alive

-0.906250,-0.046875,0.132812,0.250000,0.25,0.00,0.00,0.00,alive

-0.804688,0.085938,0.132812,0.250000,0.25,0.00,0.00,0.00,alive

-0.906250,-0.218750,0.132812,0.750000,0.25,0.00,0.00,0.00,alive

-0.859375,0.117188,0.117188,0.833333,0.25,0.00,0.00,0.00,alive

-0.703125,0.421875,0.101562,0.750000,0.25,0.00,0.00,0.00,alive

-0.609375,0.484375,0.093750,0.750000,0.25,0.00,0.00,0.00,alive

-0.539062,0.500000,0.078125,0.083333,0.25,0.00,0.00,0.00,alive

-0.531250,0.468750,0.070312,0.166667,0.25,0.00,0.00,0.00,alive

-0.523438,0.429688,0.062500,0.166667,0.25,0.00,0.00,0.00,alive

-0.507812,0.406250,0.062500,0.250000,0.25,0.00,0.00,0.00,alive

-0.507812,0.312500,0.070312,0.250000,0.25,0.00,0.00,0.00,alive

-0.546875,0.265625,0.078125,0.250000,0.25,0.00,0.00,0.00,alive

-0.562500,0.250000,0.085938,0.250000,0.25,0.00,0.00,0.00,alive

-0.664062,0.203125,0.101562,0.250000,0.25,0.00,0.00,0.00,alive

-0.773438,0.062500,0.117188,0.833333,0.25,0.00,0.00,0.00,alive

-0.773438,0.062500,0.125000,0.833333,0.25,0.00,0.00,0.00,alive

-0.976562,0.007812,0.125000,0.833333,0.25,0.00,0.00,0.00,alive

-0.703125,0.312500,0.117188,0.833333,0.25,0.00,0.00,0.00,alive

-0.648438,0.398438,0.109375,0.083333,0.25,0.00,0.00,0.00,alive

-0.585938,0.445312,0.093750,0.250000,0.25,0.00,0.00,0.00,alive

-0.539062,0.500000,0.085938,0.250000,0.25,0.00,0.00,0.00,alive

-0.500000,0.507812,0.070312,0.250000,0.25,0.00,0.00,0.00,alive

-0.460938,0.515625,0.062500,0.250000,0.25,0.00,0.00,0.00,alive

-0.460938,0.484375,0.046875,0.250000,0.25,0.00,0.00,0.00,alive

-0.398438,0.484375,0.039062,0.250000,0.25,0.00,0.00,0.00,alive

-0.367188,0.460938,0.031250,0.250000,0.25,0.00,0.00,0.00,alive

-0.335938,0.437500,0.023438,0.166667,0.25,0.00,0.00,0.00,alive

-0.312500,0.398438,0.023438,0.166667,0.25,0.00,0.00,0.00,alive

-0.281250,0.367188,0.015625,0.083333,0.25,0.25,0.00,0.00,alive

-0.281250,0.367188,0.015625,0.166667,0.25,0.25,0.25,0.00,alive

-0.234375,0.367188,0.007812,0.083333,0.25,0.50,0.25,0.00,alive

-0.203125,0.375000,0.007812,0.083333,0.25,0.75,0.50,0.25,alive

-0.187500,0.390625,0.007812,0.166667,0.25,0.75,0.75,0.75,alive

-0.203125,0.359375,0.007812,0.083333,0.25,0.75,0.75,0.75,alive

-0.195312,0.367188,0.000000,0.166667,0.25,0.75,0.75,0.75,alive

-0.164062,0.382812,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

-0.156250,0.375000,0.000000,0.166667,0.25,0.75,0.75,0.75,alive

-0.148438,0.375000,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

-0.125000,0.398438,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

-0.101562,0.367188,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

-0.062500,0.351562,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

-0.046875,0.335938,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

-0.007812,0.320312,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

0.000000,0.281250,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.250000,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

0.007812,0.234375,0.007812,0.000000,0.25,0.75,0.75,0.75,alive

0.039062,0.171875,0.007812,0.000000,0.25,0.75,0.75,0.75,alive

0.046875,0.148438,0.007812,0.000000,0.25,0.75,0.75,0.75,alive

0.054688,0.109375,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.070312,0.109375,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.062500,0.085938,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.070312,0.085938,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.054688,0.070312,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.054688,0.062500,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.046875,0.054688,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.031250,0.046875,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.039062,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.007812,0.046875,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.007812,0.046875,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.007812,0.046875,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.023438,0.031250,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.007812,0.031250,0.015625,0.083333,0.25,0.75,0.75,0.75,alive

0.015625,0.023438,0.015625,0.083333,0.25,0.75,0.75,0.75,alive

0.007812,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.000000,0.015625,0.015625,0.083333,0.25,0.75,0.75,0.75,alive

-0.007812,0.015625,0.015625,0.083333,0.25,0.75,0.75,0.75,alive

-0.015625,0.007812,0.015625,0.083333,0.25,0.75,0.75,0.75,alive

0.000000,0.000000,0.000000,0.083333,0.25,0.50,0.50,0.75,all

0.000000,0.000000,0.000000,0.083333,0.25,0.50,0.50,0.75,all

0.000000,0.000000,0.000000,0.083333,0.25,0.50,0.50,0.75,all

0.000000,0.000000,0.000000,0.083333,0.25,0.50,0.50,0.75,all

0.000000,0.000000,0.000000,0.083333,0.25,0.50,0.50,0.75,all

0.000000,0.000000,0.000000,0.083333,0.25,0.50,0.50,0.75,all

0.023438,0.015625,0.007812,0.083333,0.25,0.50,0.50,0.75,all

0.023438,0.007812,0.007812,0.083333,0.25,0.50,0.50,0.50,all

0.007812,0.000000,0.007812,0.083333,0.25,0.25,0.50,0.25,all

0.023438,0.000000,0.007812,0.083333,0.25,0.00,0.25,0.00,all

0.046875,0.023438,0.007812,0.000000,0.25,0.00,0.00,0.00,all

0.046875,0.015625,0.007812,0.083333,0.25,0.00,0.00,0.00,all

0.062500,0.023438,0.007812,0.083333,0.25,0.00,0.00,0.00,all

0.101562,0.023438,0.015625,0.083333,0.25,0.00,0.00,0.00,all

0.156250,0.023438,0.015625,0.000000,0.25,0.00,0.00,0.00,all

0.218750,0.023438,0.015625,0.000000,0.25,0.00,0.00,0.00,all

0.242188,0.000000,0.023438,0.000000,0.25,0.00,0.00,0.00,all

0.257812,0.015625,0.023438,0.000000,0.50,0.00,0.00,0.00,all

0.289062,0.000000,0.023438,0.000000,0.50,0.00,0.00,0.00,all

0.304688,-0.007812,0.023438,0.000000,0.50,0.00,0.00,0.00,all

0.171875,0.000000,0.023438,0.000000,0.50,0.00,0.00,0.00,all

0.179688,0.007812,0.015625,0.000000,0.50,0.00,0.00,0.00,all

0.187500,0.015625,0.007812,0.000000,0.50,0.00,0.00,0.00,all

0.328125,0.031250,0.000000,0.000000,0.50,0.00,0.00,0.00,all

0.273438,0.062500,-0.007812,0.000000,0.50,0.00,0.00,0.00,all

0.187500,0.125000,-0.023438,0.083333,0.50,0.00,0.00,0.00,all

0.085938,0.156250,-0.039062,0.083333,0.25,0.00,0.00,0.00,all

0.000000,0.210938,-0.054688,0.083333,0.50,0.00,0.00,0.00,all

-0.109375,0.273438,-0.070312,0.166667,0.25,0.00,0.00,0.00,all

-0.242188,0.320312,-0.070312,0.166667,0.25,0.00,0.00,0.00,all

-0.328125,0.343750,-0.062500,0.083333,0.25,0.00,0.00,0.00,all

-0.476562,0.343750,-0.054688,0.083333,0.25,0.00,0.00,0.00,all

-0.578125,0.351562,-0.031250,0.083333,0.50,0.00,0.00,0.00,all

-0.671875,0.296875,-0.007812,0.083333,0.50,0.00,0.00,0.00,all

-0.726562,0.375000,0.000000,0.250000,0.25,0.00,0.00,0.00,all

-0.742188,0.351562,0.015625,0.250000,0.25,0.00,0.00,0.00,all

-0.734375,0.320312,0.023438,0.166667,0.25,0.00,0.00,0.00,all

-0.742188,0.328125,0.023438,0.250000,0.25,0.00,0.00,0.00,all

-0.609375,0.367188,0.031250,0.916667,0.25,0.00,0.00,0.00,all

-0.632812,0.320312,0.023438,0.916667,0.25,0.00,0.00,0.00,all

-0.625000,0.304688,0.023438,0.000000,0.25,0.00,0.00,0.00,all

-0.617188,0.320312,0.015625,0.083333,0.25,0.00,0.00,0.00,all

-0.562500,0.320312,0.007812,0.083333,0.25,0.25,0.25,0.25,all

-0.500000,0.312500,0.000000,0.000000,0.25,0.50,0.75,0.75,all

-0.421875,0.312500,0.000000,0.000000,0.25,0.75,0.75,0.75,all

-0.367188,0.296875,0.000000,0.000000,0.25,0.75,0.75,0.75,all

-0.304688,0.265625,0.000000,0.000000,0.25,0.75,0.75,0.75,all

-0.257812,0.250000,0.000000,0.000000,0.25,0.75,0.75,0.75,all

-0.210938,0.226562,0.000000,0.000000,0.25,0.75,0.75,0.75,all

-0.156250,0.203125,0.000000,0.000000,0.25,0.75,0.75,0.75,all

-0.109375,0.187500,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.101562,0.156250,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.078125,0.117188,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.054688,0.109375,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.039062,0.117188,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.039062,0.117188,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.046875,0.093750,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.054688,0.085938,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.054688,0.085938,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.054688,0.085938,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.054688,0.078125,0.007812,0.000000,0.25,0.75,0.75,0.75,all

-0.046875,0.078125,0.015625,0.000000,0.25,0.75,0.75,0.75,all

-0.039062,0.078125,0.015625,0.000000,0.25,0.75,0.75,0.75,all

-0.031250,0.078125,0.015625,0.000000,0.25,0.75,0.75,0.75,all

-0.046875,0.093750,0.015625,0.000000,0.25,0.75,0.75,0.75,all

-0.031250,0.070312,0.015625,0.000000,0.25,0.75,0.75,0.75,all

-0.015625,0.070312,0.015625,0.000000,0.25,0.75,0.75,0.75,all

-0.007812,0.070312,0.015625,0.000000,0.25,0.75,0.75,0.75,all

0.000000,0.070312,0.015625,0.000000,0.25,0.75,0.75,0.75,all

0.000000,0.070312,0.015625,0.000000,0.25,0.75,0.75,0.75,all

0.000000,0.000000,0.000000,0.000000,0.25,0.75,0.75,0.00,all

0.000000,0.000000,0.000000,0.000000,0.25,0.75,0.75,0.00,all

0.000000,0.000000,0.000000,0.000000,0.25,0.75,0.75,0.00,all

0.000000,0.000000,0.000000,0.000000,0.25,0.75,0.75,0.00,all

0.000000,0.000000,0.000000,0.000000,0.25,0.75,0.75,0.25,all

0.000000,0.000000,0.000000,0.000000,0.25,0.50,0.50,0.00,all

0.007812,0.000000,0.000000,0.000000,0.25,0.50,0.50,0.00,all

0.007812,0.000000,0.000000,0.000000,0.25,0.50,0.50,0.00,all

0.015625,0.000000,0.000000,0.000000,0.25,0.25,0.50,0.00,all

0.015625,0.000000,0.000000,0.000000,0.25,0.25,0.75,0.00,all

0.031250,0.000000,0.000000,0.000000,0.25,0.00,0.00,0.00,all

0.039062,0.000000,0.000000,0.083333,0.25,0.00,0.00,0.00,all

0.062500,0.000000,0.007812,0.000000,0.25,0.00,0.00,0.00,all

0.148438,0.000000,0.007812,0.000000,0.25,0.00,0.00,0.00,all

0.203125,-0.023438,0.007812,0.000000,0.25,0.00,0.00,0.00,all

0.125000,-0.023438,0.015625,0.000000,0.25,0.00,0.00,0.00,all

0.109375,-0.023438,0.007812,0.000000,0.25,0.00,0.00,0.00,all

0.312500,-0.023438,0.007812,0.000000,0.25,0.00,0.00,0.00,all

0.296875,0.000000,0.000000,0.000000,0.25,0.00,0.00,0.00,all

0.296875,0.015625,0.000000,0.000000,0.25,0.00,0.00,0.00,all

0.250000,0.039062,-0.015625,0.000000,0.25,0.00,0.00,0.00,all

0.187500,0.085938,-0.031250,0.000000,0.25,0.00,0.00,0.00,all

0.093750,0.109375,-0.046875,0.083333,0.25,0.00,0.00,0.00,all

0.015625,0.164062,-0.062500,0.083333,0.25,0.00,0.00,0.00,all

-0.085938,0.203125,-0.070312,0.083333,0.25,0.00,0.00,0.00,all

-0.179688,0.218750,-0.070312,0.083333,0.25,0.00,0.00,0.00,all

-0.289062,0.265625,-0.070312,0.166667,0.25,0.00,0.00,0.00,all

-0.398438,0.265625,-0.062500,0.083333,0.25,0.00,0.00,0.00,all

-0.476562,0.265625,-0.046875,0.083333,0.25,0.00,0.00,0.00,all

-0.515625,0.234375,-0.031250,0.083333,0.25,0.00,0.00,0.00,all

-0.570312,0.242188,-0.015625,0.083333,0.25,0.00,0.00,0.00,all

-0.578125,0.234375,-0.007812,0.166667,0.25,0.00,0.00,0.00,all

-0.585938,0.226562,0.000000,0.083333,0.25,0.00,0.00,0.00,all

