@relation 	/home/yyang/Data/syncon
@attribute	Attribute-0	real
@attribute	Attribute-1	real
@attribute	Attribute-2	real
@attribute	Attribute-3	real
@attribute	Attribute-4	real
@attribute	Attribute-5	real
@attribute	Attribute-6	real
@attribute	Attribute-7	real
@attribute	Attribute-8	real
@attribute	Attribute-9	real
@attribute	Attribute-10	real
@attribute	Attribute-11	real
@attribute	Attribute-12	real
@attribute	Attribute-13	real
@attribute	Attribute-14	real
@attribute	Attribute-15	real
@attribute	Attribute-16	real
@attribute	Attribute-17	real
@attribute	Attribute-18	real
@attribute	Attribute-19	real
@attribute	Attribute-20	real
@attribute	Attribute-21	real
@attribute	Attribute-22	real
@attribute	Attribute-23	real
@attribute	Attribute-24	real
@attribute	Attribute-25	real
@attribute	Attribute-26	real
@attribute	Attribute-27	real
@attribute	Attribute-28	real
@attribute	Attribute-29	real
@attribute	Attribute-30	real
@attribute	Attribute-31	real
@attribute	Attribute-32	real
@attribute	Attribute-33	real
@attribute	Attribute-34	real
@attribute	Attribute-35	real
@attribute	Attribute-36	real
@attribute	Attribute-37	real
@attribute	Attribute-38	real
@attribute	Attribute-39	real
@attribute	Attribute-40	real
@attribute	Attribute-41	real
@attribute	Attribute-42	real
@attribute	Attribute-43	real
@attribute	Attribute-44	real
@attribute	Attribute-45	real
@attribute	Attribute-46	real
@attribute	Attribute-47	real
@attribute	Attribute-48	real
@attribute	Attribute-49	real
@attribute	Attribute-50	real
@attribute	Attribute-51	real
@attribute	Attribute-52	real
@attribute	Attribute-53	real
@attribute	Attribute-54	real
@attribute	Attribute-55	real
@attribute	Attribute-56	real
@attribute	Attribute-57	real
@attribute	Attribute-58	real
@attribute	Attribute-59	real
@attribute	class { normal, cyclic, increasing, decreasing, upward, downward  }

@data

27.1798,29.2498,33.6928,25.6264,24.6555,28.9446,35.7980,34.9446,24.5596,34.2366,27.9634,25.32160,35.4154,34.8620,25.1472,29.4686,33.1739,31.1274,31.3701,26.5173,28.6486,31.65650,35.94970,33.03210,24.60810,33.20250,27.43350,32.63550,35.87730,28.02950,33.12470,33.41290,26.92450,30.21230,29.65260,30.86440,24.51190,33.99310,33.30940,33.20400,31.26510,27.90720,35.11100,35.07570,33.83300,25.94810,29.13480,24.28750,32.322300,34.924400,27.721800,27.960100,35.7198000,27.5760000,35.3375000,29.999300,34.2149000,33.1276000,31.1057000,31.0179000,normal

25.5067,29.7929,28.0765,34.4812,33.8000,27.6671,30.6122,25.6393,30.1171,26.5188,30.1524,27.85140,29.5582,32.3601,29.2064,26.1001,33.4677,33.9010,29.2674,34.8311,31.9815,26.49600,32.66450,27.71880,35.73850,32.83090,30.15090,30.55930,27.33210,27.45590,24.23610,34.72680,29.92070,27.27300,35.99630,32.39170,27.13900,26.45890,25.04660,35.50020,27.99610,25.88970,31.39510,30.75830,34.96520,28.09190,35.67060,33.44010,28.458000,31.179500,26.945800,35.838100,26.7134000,25.1641000,27.3410000,25.209300,33.4669000,24.1094000,33.1669000,35.4907000,normal

28.6989,29.2101,30.9291,34.6229,31.4138,28.4636,35.9115,32.9058,28.7669,24.2868,34.8983,33.72910,29.1154,26.2804,33.4559,31.6103,33.3061,24.5530,29.1587,27.8378,25.3525,25.21260,26.95650,27.99280,29.50570,31.07230,26.36050,27.74340,34.04380,25.10530,24.44620,35.41910,33.34720,32.23560,24.52440,29.46350,24.68890,28.19620,34.29940,31.63160,30.80050,35.77270,31.34440,25.56910,32.78390,32.77070,24.10470,34.00600,28.824900,24.049900,29.827400,24.032300,31.0756000,34.3358000,25.4358000,25.893000,35.6732000,25.1869000,29.6669000,26.4637000,normal

30.9493,34.3170,35.5674,34.8829,30.6691,35.2667,35.8950,25.9022,28.8917,32.2092,28.9898,26.05720,31.7516,32.2940,31.0631,24.1612,26.6554,25.2452,30.5956,31.3910,32.1604,33.77650,31.13360,32.62600,28.86160,27.62230,33.93810,33.98360,34.88950,29.46170,34.57340,32.44310,30.07450,25.04950,29.29420,28.26890,28.48190,29.89170,33.11620,26.45740,27.44420,33.07840,33.22860,27.58370,24.48950,26.21510,24.03310,26.47650,34.856800,30.593400,35.434100,31.124800,24.2424000,29.7172000,35.9365000,36.018700,26.3866000,33.1842000,31.3025000,34.5230000,normal

35.2538,34.6402,35.7584,28.5510,25.6518,29.6442,31.9400,35.9086,28.9622,24.6224,29.7635,29.50980,28.2109,34.2855,27.5473,25.4274,32.3429,34.7900,33.7012,25.3495,33.7603,26.44420,24.50970,30.41350,28.49480,28.84330,32.42840,24.50710,31.70320,29.87220,35.85200,35.71720,27.19220,24.32060,25.26980,29.62030,24.32430,31.18240,25.07010,31.88240,28.64680,32.85700,24.74690,29.30450,27.39940,26.14970,31.96130,34.74920,24.868100,32.028500,32.748600,33.545500,24.1792000,25.3980000,35.2296000,28.343500,26.5999000,28.9487000,30.2372000,32.3833000,normal

29.1734,31.5089,33.1944,35.6177,31.5890,35.1223,28.6222,34.3145,33.1096,35.6842,29.7341,28.24950,30.4642,24.7513,26.3774,27.9832,33.6256,33.9634,33.7699,24.4594,26.1460,32.92710,27.32480,35.62580,31.36970,26.89330,24.15280,25.88130,30.69960,32.71520,24.32430,29.63830,27.60210,26.72150,24.35550,34.15690,27.58920,24.32090,32.59840,25.12700,35.33610,36.00730,34.26600,26.91720,31.70320,35.51420,28.30090,35.58390,31.816300,33.756300,35.690800,25.512900,30.5505000,33.3061000,32.9789000,24.049600,32.8313000,29.2413000,35.4543000,25.8732000,normal

35.2623,35.6805,31.0851,30.2589,24.1366,27.0766,25.7770,33.1482,24.7965,26.2804,33.3828,28.54840,26.7417,35.9152,30.3841,31.6716,24.0114,33.0446,33.5631,33.9432,31.3396,24.49790,31.79280,34.64570,26.81550,33.87310,26.52900,35.27140,30.50600,29.62430,32.46220,33.04650,29.11570,26.23780,28.18370,32.06230,28.33320,30.97900,33.22010,24.25080,27.17350,32.11890,24.52620,30.83210,27.50470,26.00980,25.22430,24.11420,29.495800,26.229800,30.545700,24.825900,29.9075000,28.0949000,31.5622000,26.408200,34.1331000,28.1918000,30.2934000,29.4113000,normal

26.7115,24.0969,30.0213,29.9423,31.5460,33.7673,26.7519,28.7294,26.0583,35.7051,33.7974,25.07040,33.0428,25.8115,33.0476,26.1295,34.1154,31.8647,29.3071,35.8575,28.5234,28.84440,29.06400,29.92770,25.60700,29.22660,35.83550,25.36350,29.95630,26.74680,27.85870,34.65080,24.14210,31.65180,34.32660,25.04690,32.13320,32.37260,35.28830,33.87050,27.62120,25.37050,30.03750,31.02750,35.08710,32.32010,35.20130,28.52120,31.406100,29.792500,32.469900,28.196600,31.9195000,35.4859000,24.2670000,30.708400,28.9351000,35.5112000,24.7690000,33.8874000,normal

34.2296,32.8783,24.2457,26.9036,25.8677,34.0545,30.8923,28.7287,26.8493,25.1119,35.5939,32.89410,31.6723,31.0947,27.8547,27.3891,32.3800,33.3630,28.6751,35.9185,28.6512,31.07710,27.93590,24.47260,32.83600,33.60760,32.73910,28.55720,26.69830,29.37170,30.03380,32.17100,25.15750,30.74880,33.87560,26.07920,35.33390,36.00810,32.68290,29.16860,30.09250,31.96540,30.90230,31.13800,25.20740,34.73710,24.51340,25.36860,30.389600,27.580000,32.590400,30.062800,35.5009000,33.8415000,24.3448000,25.839400,30.8182000,27.5833000,32.3322000,32.7611000,normal

30.1451,28.2025,26.5217,26.3509,35.4694,33.4757,32.4387,35.9166,32.2970,29.0548,31.9811,28.46100,26.5544,29.6684,33.8492,29.8039,31.6951,29.0625,32.6965,26.0263,28.9420,30.53280,27.33840,24.65950,25.88270,35.08010,33.72140,35.33240,31.80300,26.67590,34.36510,24.40320,26.83380,24.20420,28.60640,24.44510,32.08950,34.99820,29.09220,31.95320,32.98770,27.67510,24.45310,30.58090,31.38440,35.94490,30.37160,25.95690,26.850000,29.773100,32.371100,32.303600,34.2564000,26.5720000,26.7762000,29.276200,34.2656000,30.6595000,35.3743000,33.7996000,normal

24.0543,33.0039,35.4925,28.5634,28.7661,32.5147,29.9813,24.3169,24.4333,34.1441,30.3602,33.72290,29.9475,33.1878,33.2168,29.3504,30.0261,25.2739,27.8404,24.5589,34.8932,27.37620,30.95480,24.95440,34.87890,29.00190,30.09580,25.27900,35.32910,27.35160,24.03080,28.03650,26.29370,29.50680,29.73560,30.08590,24.25150,31.04510,27.72290,25.71120,28.30860,34.62990,28.10260,32.55550,28.12610,33.75080,24.60770,32.50440,26.349100,25.156400,30.994400,26.435000,32.2903000,35.3188000,27.2172000,34.746300,25.7472000,31.9507000,33.8573000,25.9962000,normal

28.1944,30.7994,33.9010,26.7178,27.5378,28.0809,32.5500,33.7445,26.0439,32.6774,34.3255,30.25260,29.8171,33.0270,35.6129,27.6788,32.8500,28.4272,28.5124,25.5923,30.6140,31.88200,29.90640,28.27480,31.98260,29.81930,35.34450,34.16100,32.25910,34.43380,31.98810,28.58770,24.39260,33.48530,30.38040,28.36660,35.22740,33.47540,32.69280,28.14330,35.23840,25.09980,29.56850,29.41280,33.48600,30.79540,27.45260,26.21690,25.755300,27.184500,30.068300,32.142000,35.4099000,34.5950000,24.0510000,34.664100,35.2538000,34.1011000,24.7752000,33.6604000,normal

26.0377,28.3229,27.8169,26.0755,35.8300,26.7637,30.3826,33.3847,27.0971,31.2636,28.3222,33.85030,29.2406,30.9709,32.7149,28.5763,26.1684,34.2840,35.7172,31.1575,24.9529,26.82940,29.83030,29.43040,27.68320,27.32960,34.33580,34.01920,31.73030,34.15950,28.49730,33.55280,33.23260,34.44340,34.07280,31.41310,26.65760,24.92650,30.13810,32.02190,35.40730,35.97250,26.99690,31.19640,33.96490,35.72270,30.31250,35.00850,25.176600,30.663200,29.703700,29.318800,24.8644000,35.0739000,31.7388000,32.713400,24.8413000,33.0736000,30.9048000,34.6861000,normal

35.4815,26.8952,34.7511,36.0264,26.2202,30.3771,24.7539,29.3497,33.5999,29.1047,29.2619,28.44120,26.6106,30.9188,33.6436,32.4765,27.5690,35.6915,24.3268,33.7890,30.1495,24.02530,24.21000,27.44860,32.31970,34.43490,31.08400,35.06070,26.61610,31.57060,29.40140,28.84220,24.85270,32.14680,35.16090,33.11730,31.90150,34.69380,31.39100,24.56520,33.59290,27.26860,30.75320,28.68540,33.71920,28.37290,26.49050,33.81580,24.685600,26.085800,32.140500,35.942300,35.0853000,35.3845000,31.4013000,28.158800,30.4594000,30.3680000,26.5412000,31.4222000,normal

27.0997,31.5199,30.8038,28.5932,26.6983,32.5261,24.7359,30.7745,35.4374,34.7526,34.7507,29.63680,28.0144,30.3254,28.9633,28.6442,35.9721,33.4618,29.2663,27.2025,28.2906,25.05210,26.38840,30.30810,28.34130,30.47740,24.71130,29.92470,26.86540,27.20030,32.20260,30.66100,26.77730,34.47530,33.45770,29.87660,32.14930,33.58220,25.93450,24.79360,28.38200,34.83330,25.00070,28.93840,30.65110,36.02280,33.66010,26.08870,31.033700,32.134300,26.967100,24.556000,29.7037000,25.5431000,31.2221000,31.672700,28.7342000,28.0614000,35.1066000,27.0854000,normal

29.4965,28.1316,29.4459,31.4876,32.5261,34.8466,33.0777,24.4932,32.7123,27.7038,28.5014,24.88460,32.7483,32.0719,25.7744,26.7732,31.6000,28.9453,33.9300,32.7016,34.9938,27.25980,26.02450,33.65750,32.65170,31.41560,26.04430,32.63520,25.37340,27.71700,30.75720,33.90940,34.65380,35.23250,27.09900,34.49290,33.54950,31.93120,34.77790,24.17300,32.30320,30.21630,25.56550,30.60330,28.80910,28.49260,34.00860,35.34230,33.366700,28.650500,34.275900,25.947700,34.2359000,26.5977000,30.2361000,34.087200,29.2068000,33.3659000,29.7426000,27.6759000,normal

25.7946,33.9116,25.3323,24.4300,26.9818,25.3804,25.3411,30.1135,25.4443,29.9155,29.0078,24.47780,35.2149,31.2526,25.6720,31.3536,27.2958,31.0077,31.9731,26.6106,26.8004,29.50020,30.55300,33.30390,33.56940,30.76200,28.73600,25.35430,35.88140,32.99540,28.48820,25.18800,31.89230,31.93710,29.86890,28.70890,27.60020,34.48850,27.73610,34.73420,34.26490,25.84120,27.65050,28.86460,34.08130,31.84970,28.71880,30.45200,33.299800,27.352000,35.406200,28.571900,27.1919000,24.7289000,34.0335000,35.994500,32.1629000,33.2212000,32.0906000,26.8977000,normal

33.4655,30.7767,35.9042,35.4448,27.8881,24.0044,28.7063,24.5398,33.9381,25.1457,29.1980,30.51960,32.2940,33.6718,27.9241,24.6221,33.9476,31.9158,25.9536,33.0957,34.2384,34.21530,33.34650,28.98430,26.14240,30.50930,35.30820,29.15830,35.57730,32.33400,24.16930,29.95480,27.19150,26.05460,32.89740,34.50060,28.46210,29.24790,27.61640,33.71220,31.76820,31.00880,28.02620,25.58050,34.30560,24.12630,24.41460,31.00140,28.200300,30.232500,24.043000,34.328000,35.9552000,25.0429000,24.2347000,35.536200,27.6615000,25.7862000,28.3508000,33.8789000,normal

31.7006,31.3466,34.3405,33.6582,34.7008,29.0794,27.8264,24.3558,30.6202,35.5902,29.7400,25.74690,31.3047,24.4429,25.9044,29.9086,25.3668,32.9781,33.1408,27.0182,34.6685,24.45200,33.03620,31.07410,26.61940,26.30100,27.94430,27.71370,24.10280,24.47550,34.58730,24.98890,26.84560,26.35980,29.17520,33.00530,25.87800,24.90630,32.43320,32.95800,25.72890,35.84250,35.58540,26.19300,31.10570,24.81630,27.89950,31.30910,33.036500,28.689800,31.391400,35.683500,35.4587000,35.1657000,30.2692000,34.170500,24.8597000,33.2455000,25.6180000,28.9975000,normal

32.2613,27.3329,30.6940,27.3329,33.7185,30.3973,32.7784,30.8898,31.1498,33.5620,25.7447,29.96810,35.6122,27.7049,30.9959,32.3987,30.1043,26.3036,30.4311,31.5008,31.1020,32.74570,29.92180,27.74090,25.08590,33.70340,32.56030,32.26910,31.63080,33.98650,31.86510,34.66660,33.20880,33.98470,32.83240,31.53640,35.31810,25.27130,30.52260,26.06890,33.18600,25.81330,26.27240,35.06070,28.32250,25.79830,35.28060,25.54090,27.610500,33.984300,33.302000,34.082400,35.8403000,35.4191000,24.8211000,29.961400,34.5410000,26.3667000,24.0132000,27.9344000,normal

30.2137,33.5576,34.5969,35.8645,32.4596,30.8967,24.4473,30.1050,33.0696,33.7820,29.2145,25.19680,27.0663,31.4630,31.8449,33.6906,26.4361,25.5662,29.0188,30.7936,35.3430,27.74310,27.66630,32.49930,33.82390,31.87060,33.61380,28.88180,35.02430,30.36240,28.21530,25.61100,34.34820,29.84540,31.12520,31.62970,35.90380,27.47320,28.46870,29.45840,34.79040,35.48520,33.02880,30.79060,32.31200,31.05540,31.64260,25.22690,34.856500,27.341000,26.255100,33.094900,29.2971000,34.4702000,32.1295000,34.111000,30.0488000,34.1841000,35.0915000,30.9676000,normal

34.2127,25.6690,24.0059,31.6246,28.0684,25.6268,28.1628,28.8987,25.7417,31.9892,35.1106,25.86180,30.6239,26.8584,31.4748,29.1991,32.7211,28.0706,30.2629,34.9835,28.7801,24.30960,26.37040,25.27940,33.97660,31.79350,32.58120,24.09070,35.90600,35.26480,29.48110,26.51620,28.12570,27.23780,29.70770,30.11350,25.86550,28.56600,29.79030,30.47150,32.68180,27.52640,25.93860,29.49510,29.14000,33.33400,35.49580,26.70020,24.500900,24.862600,35.687900,29.990500,25.8949000,26.5808000,26.1122000,32.145300,26.1299000,32.3139000,30.3287000,25.5908000,normal

33.0777,32.9058,26.4093,25.7531,25.1916,24.8237,30.9287,31.1634,24.5578,27.1500,25.4230,35.01030,27.6428,32.1376,34.0346,28.3512,33.2672,25.0675,29.3361,25.4355,28.3012,34.68900,35.21780,27.28960,26.21580,25.08620,31.62900,26.22090,31.01170,35.46970,30.06350,27.54480,33.70560,29.79000,32.87060,34.76910,34.21420,31.12150,28.69420,34.70670,27.35680,26.78760,25.90990,25.01020,30.05210,26.64730,35.70000,24.33750,28.261200,25.234600,30.707600,35.442900,29.0485000,33.5808000,31.5695000,33.769900,24.1168000,27.6781000,34.4048000,24.0316000,normal

26.1229,27.5393,27.8286,32.7989,32.2584,33.4875,29.1620,31.4509,28.2759,33.6307,27.4140,30.52290,31.8324,25.7421,27.4353,26.9602,35.6475,26.8529,34.6861,33.2730,29.8359,25.80050,30.62390,26.52610,24.07790,32.54010,30.84500,34.13450,32.39760,35.06430,35.32360,25.93270,25.43770,29.77090,35.08420,34.04750,29.59680,32.39170,29.04670,25.64880,28.96550,30.75610,34.88150,34.33760,29.91520,27.16620,35.58320,27.11510,28.509100,35.388600,26.095700,24.726400,36.0319000,35.6522000,29.4995000,24.515900,35.1671000,29.4073000,30.4972000,26.9994000,normal

34.1522,28.7753,32.6374,28.1430,31.2739,26.1861,30.5754,25.8647,32.9737,31.8166,31.6227,35.11060,34.1830,31.8078,26.1758,27.6579,31.9606,27.0667,29.2406,31.6584,29.1921,29.69590,32.48200,30.30990,27.21650,32.46550,25.11560,27.04200,24.30440,32.92860,31.36390,24.89450,30.89860,31.32930,33.99900,34.77900,34.29280,35.77750,32.53120,28.76980,31.96940,29.93210,33.35600,25.31390,30.17040,32.93410,27.89290,29.96990,30.650300,26.340300,32.793100,30.604800,34.5623000,34.2197000,31.6503000,35.384900,26.2478000,34.9039000,24.6559000,27.5973000,normal

26.0528,26.6546,25.6327,30.1965,30.5483,34.0332,32.3961,33.7864,25.5313,28.2777,26.4655,29.06510,34.5888,29.7962,28.0802,29.7999,27.6123,29.1554,33.9127,26.5408,25.0594,30.77150,31.89630,33.89840,29.82780,24.14470,28.85610,27.19330,26.27790,30.42050,32.67040,27.57120,27.21870,29.10880,32.94330,35.12900,35.37240,33.08280,30.21700,33.04170,32.50110,32.45600,25.34290,26.96460,31.16410,27.32300,31.06270,29.83950,25.537200,26.397600,29.467900,28.584000,32.6877000,26.9664000,33.6384000,35.314800,24.6393000,33.6931000,32.7398000,30.9551000,normal

26.8518,35.4224,27.0112,24.2167,27.0174,33.6189,28.1863,33.7959,29.9684,29.5619,27.2179,24.25150,34.9586,27.8213,33.4783,24.5626,30.4528,35.3471,30.8729,26.6348,35.3809,29.45760,27.24030,25.12700,29.29600,30.48690,30.44360,24.49170,29.02360,35.79330,31.25880,25.63960,33.90680,35.10620,31.03120,34.71690,25.04110,32.38580,25.73580,34.21420,29.39190,29.44290,32.55620,31.08550,25.06820,28.85430,34.50580,25.83430,35.571500,35.493200,25.481000,29.283600,32.8570000,29.9717000,31.2632000,31.143200,33.1364000,25.6833000,24.1359000,35.0640000,normal

29.3166,26.3116,27.7893,28.1940,35.7062,31.5904,29.3508,36.0195,33.2899,28.5142,31.3183,34.24840,31.0256,31.5537,28.6898,24.9445,31.4707,24.8406,27.4768,24.6015,31.9635,26.30650,34.29020,30.71530,30.15460,30.48140,24.88900,27.38760,32.75490,25.86110,25.94040,24.33120,24.26400,24.05320,29.09040,33.38060,26.90650,31.88130,28.02470,25.00140,28.04200,36.01430,29.97720,33.64280,26.61130,27.57780,31.54450,33.25800,35.049600,28.004200,26.859500,28.599400,35.5314000,35.2880000,25.9404000,31.754900,27.8055000,32.3994000,30.9526000,32.5944000,normal

35.1227,25.1472,32.4170,29.6882,25.0212,34.6611,33.2738,25.8082,32.6227,35.8406,30.4755,30.50270,34.0827,31.6694,34.2069,34.0222,26.3168,26.1196,30.3481,31.1876,29.0985,25.37520,26.44020,35.41020,32.47070,34.66110,26.60430,29.09190,26.71710,36.01070,27.54110,31.27870,29.53730,34.59060,25.46040,24.22800,31.08480,26.55140,29.80130,28.06590,24.19650,24.15280,25.46040,29.09480,28.44230,27.23300,35.81970,26.85810,34.668800,28.639100,35.760900,25.857400,31.3525000,26.9212000,35.4235000,32.462900,27.4019000,25.6033000,35.7554000,27.3120000,normal

28.1731,28.4389,32.2253,33.9017,35.7554,34.0295,32.4651,25.0392,30.2963,27.1779,35.5854,28.52230,27.4948,30.5229,35.2035,29.3115,24.6250,33.3310,30.0125,29.5685,26.4883,29.45210,31.74650,32.28810,35.85640,29.44880,30.29820,33.13350,31.33930,26.21470,26.17030,26.86470,33.83410,31.77950,29.86120,28.73860,31.79350,32.25690,30.06130,33.04170,34.93800,26.76630,34.82450,29.46060,26.64540,33.37880,31.16450,35.55090,24.479200,35.395200,27.399400,25.352100,31.1204000,27.7622000,35.7338000,25.265100,24.9985000,28.6369000,27.0365000,28.6115000,normal

25.5897,35.4172,28.1573,24.0632,33.7019,30.8997,32.7549,30.0114,26.1273,30.9206,28.3460,32.98550,33.6024,26.4475,27.1335,35.0434,24.2012,28.0703,30.3030,24.0084,30.2288,29.76240,29.94570,35.38750,24.13730,27.66150,26.42180,35.60190,29.67570,31.06860,32.96310,24.00000,33.95160,32.95430,33.29360,35.14990,30.18950,33.60540,32.53090,29.75580,33.62450,24.52440,34.78410,29.55050,27.29180,26.22500,27.54480,27.24770,29.107300,26.867600,34.913400,26.908400,32.4402000,35.7070000,30.9680000,34.600900,35.6365000,26.0983000,28.0086000,29.8116000,normal

33.0274,30.1664,34.7195,26.2819,26.4512,27.5253,30.5251,24.0995,26.0840,34.5403,24.1979,33.92080,27.4137,24.4924,30.1421,35.3133,29.4165,24.9728,30.4091,26.0296,32.6359,34.89800,32.62490,24.20640,34.08970,35.27660,27.16730,35.89790,29.90970,24.90780,25.96100,30.43550,30.60370,30.25740,34.36510,32.28700,27.63950,32.71710,30.23060,34.98130,24.54940,27.22200,30.21560,26.26940,35.14810,35.10620,28.65380,34.64750,29.698100,32.471400,33.461400,29.159100,32.4516000,26.0770000,32.5008000,27.820600,26.4960000,33.4559000,30.6621000,29.9978000,normal

25.7733,30.8156,27.1798,31.8126,30.3624,34.5414,25.3106,28.6931,32.3609,30.9063,28.1239,35.53000,29.1260,28.1037,28.2943,28.5436,30.7076,29.4341,29.8865,31.8578,30.2655,33.30640,25.78800,24.25370,32.61090,27.34060,28.93800,33.50030,25.42040,34.10290,32.88820,33.56720,24.37020,31.36750,35.93320,24.14540,28.60490,33.05600,28.41730,28.12390,29.81860,33.42360,29.31950,25.44280,31.69690,28.44630,35.62910,28.26750,30.464500,33.567200,30.777000,27.110700,33.6256000,35.0012000,35.9585000,24.877300,31.5306000,34.4143000,25.7358000,32.8584000,normal

34.9666,27.9138,28.6666,29.0522,33.2348,31.0326,29.7922,29.5990,34.0420,26.7446,31.8306,33.04900,27.6425,32.4222,24.2670,24.3467,24.5207,30.4146,24.6672,26.8768,33.1177,30.35140,25.62830,28.47090,30.62610,31.91800,35.76170,34.44040,34.02000,35.87920,24.05990,25.40420,35.54910,28.52190,28.23590,24.84640,30.19720,27.13420,31.82690,30.10390,31.69400,27.45440,27.08130,35.78740,27.82090,24.94380,24.84940,35.69960,24.298900,35.045600,31.404200,27.688700,31.7252000,31.5879000,30.1785000,27.832700,24.5262000,29.3243000,24.4370000,34.1679000,normal

27.2146,25.2048,34.4779,30.5769,32.0237,24.3680,33.1845,31.2232,35.5770,33.9179,26.3755,27.51910,31.0231,33.8731,33.1504,30.5365,26.7027,24.9518,28.2847,34.7570,24.0422,30.21560,35.05620,35.89970,25.73730,29.89970,33.46620,24.98820,30.99220,31.35980,28.67320,31.23060,28.70850,24.81450,28.82490,27.57970,29.62250,26.82980,24.42080,24.23650,27.95500,34.41730,31.24410,31.60110,29.83480,31.52620,24.27100,25.40720,27.028800,27.231500,29.158700,28.736800,29.1712000,26.7380000,30.2556000,34.521600,33.0307000,34.8322000,33.9322000,27.6248000,normal

