@relation 	/home/yyang/Data/volcanoes
@attribute	Attribute-1	real
@attribute	Attribute-2	real
@attribute	Attribute-3	real
@attribute	class { 1, 2, 3, 4  }

@data
752.000000,578.000000,26.400000,1

690.000000,810.000000,19.209999,3

971.000000,788.000000,20.120001,3

862.000000,595.000000,13.930000,3

727.000000,759.000000,8.060000,4

918.000000,433.000000,20.809999,2

930.000000,445.000000,25.240000,3

673.000000,451.000000,8.600000,4

706.000000,383.000000,32.200001,3

780.000000,291.000000,21.190001,3

797.000000,312.000000,5.830000,4

642.000000,410.000000,5.830000,4

893.000000,428.000000,5.830000,4

476.000000,473.000000,5.830000,4

540.000000,283.000000,12.810000,4

303.000000,303.000000,21.209999,3

734.000000,227.000000,34.669998,1

937.000000,181.000000,26.680000,2

701.000000,78.000000,21.590000,2

643.000000,106.000000,31.139999,3

700.000000,178.000000,20.400000,3

96.000000,850.000000,26.630000,2

383.000000,854.000000,22.200000,2

101.000000,783.000000,22.200000,2

337.000000,748.000000,17.030000,2

174.000000,768.000000,26.400000,3

195.000000,599.000000,4.240000,4

412.000000,759.000000,7.070000,4

153.000000,251.000000,5.000000,4

626.000000,142.000000,5.000000,4

550.000000,82.000000,21.930000,3

421.000000,186.000000,13.600000,1

441.000000,355.000000,19.210000,2

439.000000,160.000000,6.320000,4

622.000000,704.000000,3.160000,4

631.000000,501.000000,5.100000,4

109.000000,536.000000,17.690000,3

529.000000,827.000000,23.430000,3

1009.000000,752.000000,3.160000,4

720.000000,537.000000,3.160000,4

513.000000,524.000000,19.850000,3

981.000000,775.000000,3.610000,4

935.000000,497.000000,3.610000,4

191.000000,110.000000,24.170000,2

41.000000,292.000000,2.830000,4

176.000000,759.000000,20.810000,3

469.000000,762.000000,17.000000,2

613.000000,644.000000,17.000000,2

795.000000,422.000000,6.710000,4

947.000000,279.000000,6.710000,4

649.000000,437.000000,25.610000,3

680.000000,720.000000,22.800000,3

50.000000,724.000000,22.800000,3

162.000000,226.000000,4.470000,4

888.000000,335.000000,4.470000,4

985.000000,317.000000,4.470000,4

779.000000,529.000000,4.470000,4

858.000000,553.000000,4.470000,4

877.000000,585.000000,4.470000,4

759.000000,553.000000,4.470000,4

776.000000,586.000000,4.470000,4

558.000000,726.000000,4.470000,4

21.000000,856.000000,18.440000,3

350.000000,970.000000,6.080000,4

433.000000,609.000000,6.080000,4

564.000000,406.000000,6.080000,4

796.000000,664.000000,6.080000,4

801.000000,591.000000,6.080000,4

782.000000,389.000000,6.080000,4

888.000000,38.000000,13.600000,2

439.000000,482.000000,4.240000,4

938.000000,369.000000,4.240000,4

612.000000,562.000000,5.660000,4

442.000000,618.000000,5.660000,4

514.000000,668.000000,17.800000,1

562.000000,676.000000,19.800000,2

364.000000,839.000000,14.760000,2

404.000000,1009.000000,7.070000,4

218.000000,125.000000,5.660000,4

332.000000,106.000000,2.240000,4

504.000000,875.000000,4.240000,4

692.000000,846.000000,4.120000,4

362.000000,137.000000,6.400000,4

161.000000,62.000000,3.610000,4

241.000000,557.000000,3.610000,4

507.000000,1010.000000,2.830000,4

477.000000,860.000000,3.160000,4

515.000000,777.000000,5.000000,4

626.000000,578.000000,3.000000,4

784.000000,634.000000,5.000000,4

946.000000,486.000000,4.240000,4

858.000000,283.000000,2.240000,4

964.000000,400.000000,5.000000,4

897.000000,18.000000,4.240000,4

817.000000,83.000000,4.120000,4

569.000000,147.000000,3.610000,4

771.000000,219.000000,3.610000,4

791.000000,218.000000,3.610000,4

950.000000,369.000000,13.040000,4

962.000000,455.000000,11.180000,4

593.000000,22.000000,4.470000,4

1002.000000,187.000000,5.830000,4

656.000000,616.000000,20.000000,3

777.000000,754.000000,20.000000,1

909.000000,700.000000,36.770000,1

969.000000,707.000000,29.150000,2

547.000000,689.000000,5.830000,4

520.000000,358.000000,5.830000,4

1000.000000,859.000000,6.710000,4

371.000000,833.000000,6.710000,4

576.000000,901.000000,6.710000,4

815.000000,715.000000,3.160000,4

989.000000,659.000000,20.590000,3

685.000000,769.000000,4.240000,4

817.000000,686.000000,4.240000,4

826.000000,741.000000,4.240000,4

704.000000,60.000000,29.070000,3

985.000000,899.000000,2.240000,4

763.000000,923.000000,2.240000,4

515.000000,70.000000,6.710000,4

523.000000,968.000000,4.470000,4

949.000000,226.000000,22.800000,3

972.000000,138.000000,16.400000,3

652.000000,33.000000,17.890000,1

742.000000,173.000000,27.460000,2

969.000000,381.000000,13.600000,1

280.000000,48.000000,21.190000,3

680.000000,720.000000,23.190000,3

735.000000,587.000000,9.490000,2

873.000000,637.000000,13.420000,2

828.000000,509.000000,9.220000,2

584.000000,668.000000,19.420000,3

697.000000,785.000000,4.240000,4

736.000000,589.000000,6.710000,2

196.000000,297.000000,12.210000,1

312.000000,481.000000,21.930000,1

378.000000,403.000000,17.000000,1

110.000000,383.000000,36.400002,1

445.000000,452.000000,18.030001,1

83.000000,454.000000,13.600000,4

171.000000,267.000000,11.400000,2

16.000000,26.000000,5.830000,4

352.000000,438.000000,16.639999,2

391.000000,423.000000,16.120001,2

389.000000,503.000000,5.830000,4

231.000000,537.000000,27.290001,1

160.000000,565.000000,4.240000,4

292.000000,586.000000,23.430000,2

85.000000,429.000000,5.390000,4

110.000000,511.000000,5.390000,4

151.000000,495.000000,5.390000,4

404.000000,620.000000,32.560001,1

475.000000,647.000000,33.619999,1

404.000000,706.000000,19.030001,1

327.000000,720.000000,26.309999,1

323.000000,665.000000,25.610001,1

124.000000,832.000000,22.020000,3

261.000000,662.000000,5.390000,4

239.000000,679.000000,5.390000,4

211.000000,731.000000,12.530000,4

24.000000,832.000000,7.210000,4

392.000000,851.000000,5.000000,4

374.000000,760.000000,5.000000,4

232.000000,917.000000,23.260000,3

523.000000,806.000000,24.330000,2

535.000000,833.000000,23.430000,2

668.000000,843.000000,12.040000,3

472.000000,736.000000,7.810000,4

539.000000,773.000000,6.400000,4

694.000000,756.000000,29.830000,3

805.000000,772.000000,23.430000,2

818.000000,584.000000,28.020000,2

770.000000,630.000000,24.080000,2

835.000000,642.000000,10.300000,1

884.000000,674.000000,25.809999,3

853.000000,957.000000,6.400000,4

868.000000,827.000000,9.900000,4

726.000000,796.000000,7.620000,4

1003.000000,1004.000000,5.660000,4

812.000000,716.000000,7.210000,4

967.000000,615.000000,31.830000,3

928.000000,324.000000,27.200001,1

957.000000,303.000000,14.870000,1

885.000000,441.000000,26.910000,2

548.000000,480.000000,29.530001,3

643.000000,437.000000,7.810000,4

733.000000,508.000000,13.600000,4

878.000000,362.000000,21.020000,3

636.000000,322.000000,24.840000,3

676.000000,348.000000,13.000000,3

731.000000,367.000000,7.070000,4

598.000000,304.000000,7.070000,4

853.000000,207.000000,76.690002,1

968.000000,263.000000,32.650002,3

687.000000,64.000000,32.650002,2

618.000000,231.000000,7.280000,4

807.000000,303.000000,22.670000,3

523.000000,549.000000,21.930000,3

362.000000,954.000000,9.060000,4

87.000000,611.000000,11.400000,1

278.000000,962.000000,23.410000,1

576.000000,727.000000,20.810000,2

69.000000,916.000000,7.070000,4

74.000000,822.000000,17.460000,3

353.000000,909.000000,20.250000,3

288.000000,514.000000,23.320000,2

118.000000,862.000000,6.000000,4

623.000000,44.000000,3.610000,4

930.000000,307.000000,1.410000,4

950.000000,321.000000,1.410000,4

947.000000,316.000000,1.410000,4

863.000000,768.000000,10.000000,2

166.000000,526.000000,30.610000,2

500.000000,904.000000,16.760000,3

100.000000,822.000000,21.930000,3

29.000000,972.000000,12.040000,3

795.000000,735.000000,1.410000,4

186.000000,82.000000,5.830000,4

157.000000,165.000000,15.000000,3

329.000000,169.000000,5.390000,4

223.000000,185.000000,5.660000,4

191.000000,311.000000,32.560000,3

605.000000,737.000000,27.290000,2

518.000000,669.000000,4.000000,4

498.000000,711.000000,4.000000,4

62.000000,785.000000,7.810000,4

38.000000,819.000000,4.240000,4

28.000000,839.000000,5.000000,4

156.000000,964.000000,6.400000,4

204.000000,900.000000,3.610000,4

227.000000,904.000000,3.610000,4

746.000000,346.000000,32.650000,2

891.000000,215.000000,36.620000,2

794.000000,155.000000,4.470000,4

897.000000,944.000000,27.200000,1

953.000000,905.000000,23.410000,1

690.000000,992.000000,23.410000,2

798.000000,710.000000,2.240000,4

1009.000000,821.000000,2.240000,4

753.000000,791.000000,2.240000,4

571.000000,486.000000,2.240000,4

552.000000,471.000000,2.240000,4

932.000000,308.000000,2.240000,4

375.000000,353.000000,2.240000,4

375.000000,344.000000,2.240000,4

380.000000,337.000000,2.240000,4

569.000000,510.000000,2.240000,4

665.000000,347.000000,2.240000,4

764.000000,361.000000,21.950000,3

754.000000,102.000000,2.000000,4

853.000000,96.000000,2.000000,4

924.000000,118.000000,2.000000,4

1009.000000,163.000000,2.000000,4

704.000000,219.000000,5.000000,4

697.000000,226.000000,2.240000,4

846.000000,212.000000,34.660000,3

92.000000,679.000000,9.220000,3

540.000000,954.000000,4.240000,4

828.000000,648.000000,4.240000,4

833.000000,639.000000,4.240000,4

590.000000,535.000000,26.930000,2

436.000000,565.000000,26.930000,2

767.000000,515.000000,19.420000,2

694.000000,479.000000,19.420000,2

656.000000,450.000000,15.620000,2

773.000000,671.000000,15.620000,1

427.000000,687.000000,3.610000,4

434.000000,452.000000,14.420000,3

417.000000,856.000000,6.320000,4

551.000000,266.000000,17.490000,2

344.000000,793.000000,4.120000,4

347.000000,802.000000,4.120000,4

842.000000,121.000000,5.000000,4

681.000000,172.000000,5.000000,4

619.000000,268.000000,5.000000,4

748.000000,716.000000,5.000000,4

541.000000,880.000000,31.890000,1

809.000000,699.000000,21.930000,1

477.000000,945.000000,33.970000,2

657.000000,820.000000,7.620000,4

823.000000,750.000000,2.830000,4

810.000000,798.000000,2.830000,4

869.000000,687.000000,2.830000,4

372.000000,587.000000,5.830000,4

378.000000,579.000000,2.830000,4

408.000000,775.000000,2.830000,4

408.000000,817.000000,2.830000,4

411.000000,803.000000,2.830000,4

411.000000,790.000000,2.830000,4

631.000000,434.000000,2.830000,4

881.000000,585.000000,2.830000,4

790.000000,343.000000,21.100000,2

495.000000,391.000000,23.600000,3

453.000000,90.000000,5.830000,4

438.000000,162.000000,3.160000,4

151.000000,585.000000,29.150000,2

613.000000,829.000000,29.730000,3

714.000000,884.000000,29.730000,3

872.000000,626.000000,20.620000,1

795.000000,426.000000,5.000000,4

784.000000,577.000000,2.240000,4

81.000000,355.000000,5.390000,4

22.000000,41.000000,5.390000,4

327.000000,18.000000,5.390000,4

135.000000,821.000000,5.390000,4

35.000000,709.000000,5.390000,4

629.000000,75.000000,6.320000,4

609.000000,39.000000,6.320000,4

677.000000,175.000000,6.320000,4

683.000000,191.000000,6.320000,4

51.000000,211.000000,25.629999,1

84.000000,349.000000,18.600000,2

208.000000,396.000000,9.220000,4

193.000000,382.000000,7.070000,4

54.000000,444.000000,20.590000,3

448.000000,260.000000,20.590000,3

461.000000,73.000000,5.000000,4

92.000000,485.000000,7.000000,4

233.000000,467.000000,25.610001,1

372.000000,713.000000,21.020000,1

417.000000,716.000000,32.200001,1

323.000000,707.000000,18.110001,2

295.000000,712.000000,18.110001,2

121.000000,636.000000,17.030001,3

317.000000,873.000000,26.830000,1

149.000000,830.000000,20.020000,1

240.000000,823.000000,17.799999,3

364.000000,944.000000,20.620001,3

280.000000,992.000000,25.610001,3

507.000000,942.000000,21.020000,3

537.000000,856.000000,20.000000,2

571.000000,845.000000,20.000000,3

446.000000,837.000000,5.830000,4

714.000000,938.000000,24.000000,2

929.000000,874.000000,26.020000,3

585.000000,507.000000,13.340000,4

709.000000,116.000000,29.270000,3

551.000000,476.000000,29.270000,3

709.000000,999.000000,22.670000,2

671.000000,739.000000,3.610000,4

520.000000,697.000000,3.610000,4

836.000000,718.000000,3.610000,4

596.000000,963.000000,3.610000,4

850.000000,241.000000,3.610000,4

962.000000,163.000000,3.610000,4

949.000000,118.000000,3.610000,4

916.000000,65.000000,3.610000,4

602.000000,726.000000,32.250000,3

882.000000,374.000000,2.830000,4

435.000000,191.000000,2.830000,4

470.000000,110.000000,2.830000,4

274.000000,86.000000,5.390000,4

186.000000,273.000000,5.390000,4

183.000000,592.000000,5.390000,4

633.000000,396.000000,24.190000,1

718.000000,315.000000,21.540000,1

228.000000,408.000000,21.540000,2

475.000000,307.000000,19.100000,2

610.000000,565.000000,11.400000,2

626.000000,316.000000,24.700000,2

437.000000,523.000000,27.460000,2

365.000000,676.000000,13.450000,3

677.000000,779.000000,36.240000,3

695.000000,651.000000,27.310000,3

789.000000,410.000000,13.600000,3

612.000000,194.000000,16.120000,1

630.000000,102.000000,16.120000,3

858.000000,501.000000,36.620000,3

956.000000,304.000000,25.500000,1

747.000000,217.000000,25.500000,2

1010.000000,517.000000,20.250000,2

127.000000,706.000000,20.250000,2

613.000000,782.000000,24.040000,3

81.000000,673.000000,16.640000,3

857.000000,709.000000,4.120000,4

737.000000,250.000000,3.160000,4

284.000000,109.000000,22.200000,1

552.000000,143.000000,55.110000,2

112.000000,912.000000,22.200000,1

269.000000,891.000000,24.040000,1

387.000000,913.000000,24.040000,2

247.000000,957.000000,30.610000,2

123.000000,276.000000,19.920000,3

845.000000,332.000000,4.120000,4

369.000000,675.000000,4.120000,4

377.000000,670.000000,2.000000,4

208.000000,757.000000,54.590000,3

127.000000,878.000000,23.260000,2

354.000000,202.000000,11.180000,3

488.000000,62.000000,4.120000,4

477.000000,36.000000,4.240000,4

578.000000,200.000000,8.490000,3

381.000000,396.000000,11.660000,3

437.000000,22.000000,4.470000,4

421.000000,25.000000,2.000000,4

432.000000,12.000000,2.240000,4

555.000000,146.000000,10.820000,3

171.000000,607.000000,11.180000,3

99.000000,284.000000,21.100000,3

135.000000,283.000000,23.430000,3

708.000000,26.000000,23.430000,3

367.000000,120.000000,19.420000,3

248.000000,421.000000,43.010000,3

200.000000,172.000000,2.830000,4

419.000000,348.000000,12.040000,3

587.000000,325.000000,30.410000,1

658.000000,271.000000,20.220000,1

614.000000,171.000000,26.930000,3

533.000000,58.000000,31.110000,3

560.000000,477.000000,11.180000,2

692.000000,271.000000,17.800000,3

779.000000,61.000000,22.020000,2

813.000000,422.000000,22.020000,2

959.000000,600.000000,25.500000,2

847.000000,571.000000,25.500000,2

894.000000,621.000000,3.160000,4

933.000000,639.000000,2.830000,4

941.000000,643.000000,4.000000,4

950.000000,648.000000,3.610000,4

252.000000,663.000000,38.590000,3

1008.000000,789.000000,20.100000,2

153.000000,7.000000,16.120000,3

190.000000,34.000000,14.140000,3

159.000000,85.000000,14.140000,3

67.000000,145.000000,6.320000,4

98.000000,259.000000,13.890000,2

377.000000,245.000000,5.830000,4

221.000000,96.000000,19.800000,1

284.000000,445.000000,22.200000,1

36.000000,528.000000,24.410000,3

239.000000,392.000000,3.610000,4

25.000000,55.000000,5.830000,4

658.000000,114.000000,4.470000,4

752.000000,341.000000,13.600000,3

625.000000,765.000000,11.180000,2

945.000000,981.000000,2.240000,4

458.000000,476.000000,3.610000,4

73.000000,654.000000,22.470000,2

176.000000,697.000000,9.430000,4

55.000000,828.000000,9.430000,3

40.000000,798.000000,12.810000,3

70.000000,845.000000,9.220000,3

513.000000,580.000000,5.000000,4

335.000000,630.000000,5.000000,4

135.000000,782.000000,13.040000,3

160.000000,322.000000,16.400000,1

169.000000,386.000000,17.000000,1

173.000000,461.000000,25.550000,2

130.000000,223.000000,19.100000,3

239.000000,261.000000,24.840000,3

328.000000,199.000000,8.250000,3

457.000000,346.000000,21.630000,2

107.000000,374.000000,14.420000,2

99.000000,156.000000,11.180000,3

555.000000,219.000000,27.200000,1

525.000000,150.000000,34.410000,3

649.000000,305.000000,34.410000,1

705.000000,281.000000,17.890000,2

721.000000,261.000000,16.030000,3

467.000000,29.000000,4.240000,4

803.000000,55.000000,29.730000,3

755.000000,273.000000,18.360000,2

801.000000,405.000000,20.810000,2

835.000000,103.000000,33.240000,3

945.000000,389.000000,30.270000,2

599.000000,611.000000,36.120000,1

937.000000,735.000000,23.850000,3

258.000000,548.000000,19.720000,3

28.000000,557.000000,20.250000,3

402.000000,866.000000,26.400000,2

417.000000,838.000000,23.770000,2

632.000000,854.000000,17.890000,1

943.000000,808.000000,26.930000,3

757.000000,834.000000,5.000000,4

552.000000,943.000000,17.090000,3

454.000000,116.000000,32.700000,1

145.000000,264.000000,44.940000,1

339.000000,31.000000,35.510000,2

279.000000,347.000000,41.760000,2

200.000000,163.000000,34.670000,2

158.000000,376.000000,34.670000,2

132.000000,442.000000,16.280000,3

530.000000,155.000000,53.760000,2

599.000000,266.000000,12.810000,3

419.000000,373.000000,14.210000,3

737.000000,101.000000,82.980000,3

